n,mean_ms,std_ms
1000,0.9531,0.11169
5000,5.2452,0.1327
10000,10.0896,0.06764
25000,25.5547,0.11527
50000,50.0875,0.1795
100000,101.17,0.75739
250000,248.2689,0.52227
500000,503.4894,4.25074
