n,mean_ms,std_ms
500,6.1428,0.06509
1000,12.2133,0.14402
2000,24.6452,0.24871
5000,60.9467,0.18532
10000,122.205,0.31755
20000,246.0968,2.95951
50000,631.6277,3.8035
100000,1300.3199,10.59586
