n,mean_ms,std_ms
10,0.1328,0.00358
50,0.6593,0.01987
100,1.3323,0.07815
500,7.0444,0.15864
1000,14.078,0.16126
5000,88.8714,22.38211
10000,176.5355,27.95159
50000,887.5364,44.72333
